bird_species	plant_species	int_str
Bird_sp1	Plant_sp4	0.0313
Bird_sp1	Plant_sp5	0.0521
Bird_sp1	Plant_sp9	0.0938
Bird_sp1	Plant_sp11	0.0104
Bird_sp1	Plant_sp14	0.0313
Bird_sp1	Plant_sp15	0.0625
Bird_sp1	Plant_sp20	0.0521
Bird_sp1	Plant_sp22	0.0104
Bird_sp1	Plant_sp23	0.0104
Bird_sp1	Plant_sp24	0.5625
Bird_sp1	Plant_sp25	0.0208
Bird_sp1	Plant_sp26	0.0104
Bird_sp1	Plant_sp27	0.0208
Bird_sp1	Plant_sp38	0.0208
Bird_sp1	Plant_sp41	0.0104
Bird_sp2	Plant_sp9	0.0045
Bird_sp2	Plant_sp14	0.0113
Bird_sp2	Plant_sp17	0.0023
Bird_sp2	Plant_sp18	0.018
Bird_sp2	Plant_sp20	0.0698
Bird_sp2	Plant_sp21	0.0023
Bird_sp2	Plant_sp23	0.1396
Bird_sp2	Plant_sp24	0.7477
Bird_sp2	Plant_sp32	0.0045
Bird_sp3	Plant_sp2	0.004
Bird_sp3	Plant_sp4	0.0476
Bird_sp3	Plant_sp5	0.0238
Bird_sp3	Plant_sp8	0.004
Bird_sp3	Plant_sp9	0.0595
Bird_sp3	Plant_sp10	0.0079
Bird_sp3	Plant_sp14	0.0159
Bird_sp3	Plant_sp17	0.004
Bird_sp3	Plant_sp18	0.0079
Bird_sp3	Plant_sp19	0.0159
Bird_sp3	Plant_sp20	0.0119
Bird_sp3	Plant_sp21	0.0238
Bird_sp3	Plant_sp24	0.7341
Bird_sp3	Plant_sp26	0.0079
Bird_sp3	Plant_sp31	0.004
Bird_sp3	Plant_sp33	0.0159
Bird_sp3	Plant_sp35	0.004
Bird_sp3	Plant_sp36	0.0079
Bird_sp4	Plant_sp15	1
Bird_sp5	Plant_sp4	0.2586
Bird_sp5	Plant_sp5	0.2155
Bird_sp5	Plant_sp10	0.4397
Bird_sp5	Plant_sp34	0.069
Bird_sp5	Plant_sp42	0.0172
Bird_sp6	Plant_sp12	0.1667
Bird_sp6	Plant_sp15	0.0833
Bird_sp6	Plant_sp16	0.2083
Bird_sp6	Plant_sp17	0.125
Bird_sp6	Plant_sp24	0.1667
Bird_sp6	Plant_sp30	0.0417
Bird_sp6	Plant_sp37	0.0833
Bird_sp6	Plant_sp41	0.125
Bird_sp7	Plant_sp1	0.0938
Bird_sp7	Plant_sp4	0.0469
Bird_sp7	Plant_sp5	0.0625
Bird_sp7	Plant_sp6	0.1875
Bird_sp7	Plant_sp7	0.0156
Bird_sp7	Plant_sp8	0.25
Bird_sp7	Plant_sp13	0.0156
Bird_sp7	Plant_sp14	0.0781
Bird_sp7	Plant_sp15	0.125
Bird_sp7	Plant_sp23	0.0156
Bird_sp7	Plant_sp28	0.0156
Bird_sp7	Plant_sp29	0.0313
Bird_sp7	Plant_sp37	0.0313
Bird_sp7	Plant_sp40	0.0313
Bird_sp8	Plant_sp3	0.0088
Bird_sp8	Plant_sp4	0.0265
Bird_sp8	Plant_sp9	0.0442
Bird_sp8	Plant_sp11	0.0575
Bird_sp8	Plant_sp14	0.0088
Bird_sp8	Plant_sp15	0.0044
Bird_sp8	Plant_sp17	0.0044
Bird_sp8	Plant_sp18	0.0133
Bird_sp8	Plant_sp23	0.0044
Bird_sp8	Plant_sp24	0.8009
Bird_sp8	Plant_sp32	0.0044
Bird_sp8	Plant_sp33	0.0044
Bird_sp8	Plant_sp36	0.0044
Bird_sp8	Plant_sp39	0.0133
Bird_sp9	Plant_sp4	0.0435
Bird_sp9	Plant_sp5	0.1087
Bird_sp9	Plant_sp15	0.3913
Bird_sp9	Plant_sp23	0.1087
Bird_sp9	Plant_sp24	0.1957
Bird_sp9	Plant_sp26	0.0435
Bird_sp9	Plant_sp36	0.0217
Bird_sp9	Plant_sp42	0.0435
Bird_sp9	Plant_sp43	0.0435
